p1_heuristic,p2_heuristic,depth,winner,rounds,time_seconds,nodes_p1,nodes_p2
progressive,progressive,3,1,57,0.813142258,151561,132316
progressive,progressive,4,1,59,5.852504228,1729754,1769537
progressive,progressive,5,2,52,51.825769016,10324204,12527726
progressive,balanced,3,1,71,0.728033546,179596,149654
progressive,balanced,4,1,25,2.684786997,662374,794793
progressive,balanced,5,1,25,28.419012182,6946261,6541924
progressive,simple,3,1,47,0.348626518,110871,62560
progressive,simple,4,2,76,4.383211056,1624449,1919136
progressive,simple,5,1,53,34.577681704,11974343,5206688
balanced,progressive,3,2,72,0.706398714,208388,141941
balanced,progressive,4,2,64,5.39492088,1618974,1665010
balanced,progressive,5,1,99,71.059424258,19433519,15297418
balanced,balanced,3,2,60,0.607922784,131329,143857
balanced,balanced,4,1,99,7.110115941,2012523,2265036
balanced,balanced,5,1,47,48.126801045,10048492,11452075
balanced,simple,3,1,97,0.638239074,161374,147917
balanced,simple,4,2,104,3.747875947,1600010,1040890
balanced,simple,5,2,74,39.527934986,11294656,8320802
simple,progressive,3,1,45,0.381888332,134823,106267
simple,progressive,4,1,57,5.144982095,2185249,1676319
simple,progressive,5,1,27,19.079803815,4038294,5837063
simple,balanced,3,1,41,0.368372726,71892,89296
simple,balanced,4,1,49,4.889161848,1750132,1847158
simple,balanced,5,1,65,28.961736885,5675867,9957273
simple,simple,3,2,64,0.371361344,105466,114312
simple,simple,4,2,66,2.448606266,1260256,1375452
simple,simple,5,2,62,17.890414411,4561444,5977565
